Genus,Species,Subspecies,Leaf_Width_Low,Leaf_Width_High,Leaf_Width_One_Value,Flower_Stem_Low,Flowe_Stem_High,Flower_Stem_One_Value,Dorsal_Sepal_Low,Dorsal_Sepal_High,Dorsal_Sepal_Width_One_Value,Lip_Width_Low,Lip_Width_High,Lip_Width_One_Value,Lip_Lenght_Low,Lip_Lenght_High,Lip_Length_One_Value,Reference,NAT,NT,Qld,NSW,ACT,Vic,Tas,SA,WA,AUS_W,AUS_L,SA_ALL,References,,,
Anzybas,abditus,,7,12,,NA,NA,,5,6,,NA,NA,,9.9,10,10,,,,,,,,,,,,,No_status,,,,
Anzybas,fordhamii,,4,16,,NA,NA,,7,8,,NA,NA,,12,15,,,,,,,,,,,,,,No_status,,,,
Anzybas,montanus,,17,30,,NA,NA,,4.5,6,,NA,NA,,13.9,14,14,,,,,,,,,,,,,No_status,,,,
Anzybas,unguiculatus,,10,20,,NA,NA,,10,12,,NA,NA,,14.9,15,15,,,,,,,,,,,,,No_status,,,,
Arachnorchis,actensis,,6,8,,80,140,,2,2.5,,8,10,,9,12,,,CR,,,,EN,,,,,CR,EN,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,aestiva,,7,10,,200,500,,3,3.5,,7,9,,12,16,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,amnicola,,5,6,,200,350,,2,2.5,,13,17,,14,18,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,amoena,,6,10,,60,100,,2,2.5,,8,11,,9,12,,,EN,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,anthracina,,3,7,,100,200,,2,3,,7,9,,13,16,,,CR,,,,,,CR,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,applanata,applanata,4,10,,250,500,,2.5,3.5,,11,15,,20,23,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,arenaria,,8,13,,150,300,,2,3,,10,12,,15,18,,,EN,,,EN,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,arenicola,,5,12,,300,600,,2.5,3.5,,12,17,,18,28,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,fragrantissima,,10,15,,200,400,,2,3,,8,10,,16,20,,,,,,,,TH,,RA,,,,RA,"Backhouse, G. (2007)",,,
Arachnorchis,necrophylla,,6,8,,100,200,,1.5,2.5,,14,18,,13,18,,,,,,,,,,RA,,,,RA,"Backhouse, G. (2007)",,,
Arachnorchis,valida,,10,25,,200,400,,3,3.5,,9,11,,12,15,,,,,,,,TH,,RA,,,,RA,"Backhouse, G. (2007)",,,
Calochilus,campestris,,10,15,,300,600,,6,7,,5,6,,14,16,,,,,,,,,,RA,,,,RA,"Backhouse, G. (2007)",,,
Diuris,behrii,,3,6,,200,500,,7,11,,NA,NA,,18,28,,,,,,,,,,RA,,,,RA,"Backhouse, G. (2007)",,,
Diuris,brevifolia,,3,4,,150,400,,6,7,,NA,NA,,12,15,,,,,,,,,,RA,,,,RA,"Backhouse, G. (2007)",,,
Diuris,sulphurea,,3,4,,200,500,,9,13,,NA,NA,,10,15,,,,,,,,,,RA,,,,RA,"Backhouse, G. (2007)",,,
Microtis,globula,,3,4,,NA,NA,,1.9,2,2,0.9,1,1,1.9,2,2,,,,,,,,,RA,RA,,,RA,"Backhouse, G. (2007)",,,
Prasophyllum,apoxychilum,,3,6,,NA,NA,,3,3.5,,3.5,4,,8.5,10,,,,,,,,,,RA,,,,RA,"Backhouse, G. (2007)",,,
Prasophyllum,colemaniae,,4,6,,NA,NA,,3.9,4,4,4.4,4.5,4.5,7.9,8,8,,,,,,,,,RA,,,,RA,"Backhouse, G. (2007)",,,
Prasophyllum,favonium,,4,7,,NA,NA,,2.5,3,,3,3.5,,4.5,5.5,,,,,,,,,,RA,,,,RA,"Backhouse, G. (2007)",,,
Prasophyllum,fuscum,,4,6,,NA,NA,,3,3.5,,4.5,5,,8,9,,,,,,,,,,RA,,,,RA,"Backhouse, G. (2007)",,,
Prasophyllum,niphopedium,,3,5,,NA,NA,,4.5,5,,4,4.5,,5,6,,,,,,,,,,RA,,,,RA,"Backhouse, G. (2007)",,,
Pterostylis,curta,,10,30,,100,300,,NA,NA,,4,5,,17,22,,,,,,,,,,RA,,,,RA,"Backhouse, G. (2007)",,,
Pterostylis,foliata,,10,16,,120,300,,NA,NA,,2,3,,12,15,,,,,,,,,,RA,,,,RA,"Backhouse, G. (2007)",,,
Arachnorchis,brumalis,,9,11,,120,300,,3,4,,3.5,4,,10,12,,,VU,,,,,,,VU,,,,VU,"Backhouse, G. (2007)",,,
Arachnorchis,calcicola,,10,15,,150,250,,1.5,3,,7,10,,10,13,,,VU,,,,,TH,,VU,,,,VU,"Backhouse, G. (2007)",,,
Arachnorchis,formosa,,9,12,,300,600,,2,3.5,,9,11,,16,20,,,VU,,,,,TH,,VU,,,,VU,"Backhouse, G. (2007)",,,
Arachnorchis,ovata,,5,8,,100,300,,1.5,1.5,,6,7,,9,11,,,VU,,,,,,,VU,,,,VU,"Backhouse, G. (2007)",,,
Arachnorchis,venusta,,8,12,,200,600,,2,3.5,,10,15,,16,25,,,,,,,,,,VU,,,,VU,"Backhouse, G. (2007)",,,
Arachnorchis,versicolor,,6,8,,150,250,,2,3,,7,9,,12,16,,,VU,,,,,TH,,VU,,,,VU,"Backhouse, G. (2007)",,,
Arachnorchis,woolcockiorum,,10,13,,200,350,,3,5,,8.5,9.5,,16,18,,,VU,,,,,,,VU,,,,VU,"Backhouse, G. (2007)",,,
Caleana,major,,6,8,,200,400,,NA,NA,,5,6,,6.5,8,,,,,,,,,,VU,,,,VU,"Backhouse, G. (2007)",,,
Calochilus,paludosus,,4,7,,150,350,,6,8,,7,9,,22,28,,,,,,,,,,VU,,,,VU,"Backhouse, G. (2007)",,,
Corunastylis,ciliata,,NA,NA,,NA,NA,,2.3,2.4,2.4,1.9,2,2,3.4,3.5,3.5,,,,,,,,,VU,,,,VU,,,,
Cryptostylis,subulata,,25,30,,500,800,,2,3,,10,14,,25,30,,,,,,,,,,VU,,,,VU,"Backhouse, G. (2007)",,,
Prasophyllum,bagoensis,,3,4,,NA,NA,,3,3.5,,4,4.5,,5.5,6,,,,,,,,,,VU,,,,VU,"Backhouse, G. (2007)",,,
Prasophyllum,olidum,,5,7,,NA,NA,,3,4,,3,4,,6,8,,,VU,,,,,,,VU,,,,VU,"Backhouse, G. (2007)",,,
Prasophyllum,petilum,,3,6,,NA,NA,,2.9,3,3,2.4,2.5,2.5,4,5,,,,,,,,,,VU,,,,VU,"Backhouse, G. (2007)",,,
Pterostylis,cullata,cullata,15,30,,50,120,,NA,NA,,3.5,4.5,,14,17,,,VU,,,VU,,TH,EN,VU,,,,VU,"Backhouse, G. (2007)",,,
Arachnorchis,arrecta,,6,20,,120,350,,2,3,,7,12,,12,16,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,atroclavia,,5,10,,250,350,,1.9,2,2,8,10,,13,15,,,EN,,EN,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,attingens,attingens,5,12,,170,450,,3,6,,15,24,,12,20,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,aurulenta,,5,11,,100,200,,1.6,2,,13,14.5,,14,16,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,australis,,6,10,,120,300,,3,4,,8,10,,11,14,,,,,,,,,EN,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,brachyscapa,,3,6,,30,150,,1,2,,7,10,,10,13,,,EX,,,,,TH,EN,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,brownii,,5,10,,300,600,,2.5,3,,11,16,,15,27,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,bryceana,bryceana,5,12,,30,100,,1.5,2,,1.5,2,,5,6,,,EN,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,busselliana,,5,10,,200,300,,3,4,,10,12,,15,20,,,EN,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,callitrophila,,4,12,,200,350,,1.5,2,,7,9,,12,15,,,,,,,,,,,,,,No_status,,,,
