names vitalrate	Martinezzi	Rugosa	matrix
lambda	1.3	0.93	
s1	0.8961039	0.86363637	s1*(1-g12)
g12	0.24637681	0.263157896	s1*g12
s2	0.90163934	0.88888889	0
g21	0.018181815	0.062500005	0
g23	0.145454545	0.093749996	s2*g21
s3	0.9375	1.00000001	s2*(1-g23-g21)
g32	0.25	0.266666667	s2*g23
g34	0.183333333	0.266666667	0
s4	0.96666666	0.95454545	f31
g43	0.603448277	0.285714284	s3*g32
f31	3.875	0	s3*(1-g34-g32)
f41	16.53333	0.0045	s3*g34
			f41
			0
			s4*g43
			s4*(1-g43)
