mat,Lon,Lat,OrganismType,SpeciesAccepted,Authors,Journal,DOI_ISBN
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,-79.9328,39.279202,Herbaceous perennial,Cleistes bifaria,Gregg; Kéry,Biol Conserv,10.1016/j.biocon.2005.09.044
,-82.277496,29.658701,Herbaceous perennial,Cleistes bifaria,Gregg; Kéry,Biol Conserv,10.1016/j.biocon.2005.09.044
,NA,NA,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,NA,NA,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,NA,NA,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.266389,58.579444,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,26.341667,59.483333,Herbaceous perennial,Cypripedium calceolus,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,-84.515278,21.936389,Epiphyte,Dendrophylax lindenii,Raventós; Gonzalez; Mújica; Bonet,Biotropica,10.1111/btp.12231
,-92.105833,15.03,Epiphyte,Erycina crista-galli,Mondragón; Maldonado; Aguilar-Santelises,Selbyana,10.1111/boj.12204
,-92.166667,14.983333,Epiphyte,Erycina crista-galli,Mondragón; Maldonado; Aguilar-Santelises,Selbyana,10.1111/boj.12204
,-92.165833,15.091944,Epiphyte,Lepanthes acuminata,Raventós; García-González; Riverón-Giró; Damon,Plant Ecol Divers,10.1080/17550874.2018.1444110
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
,-66.072778,18.101667,Epiphyte,Lepanthes caritensis,Crain; Tremblay; Ferguson,Popul Ecol,10.1002/1438-390X.1002
