"func_name","package","description"
"eigen.analysis","popbio","Eigenvalue and eigenvector analysis of a projection matrix"
"pop.projection","popbio","Calculate population growth rates by projection"
"projection.matrix","popbio","Construct projection matrix models using transition frequency tables"
"reproductive.value","popbio","Reproductive value"
"splitA","popbio","Split a projection matrix into separate T and F matrices"
"stable.stage","popbio","Stable stage distribution"
"stage.vector.plot","popbio","Plot stage vector projections"
"stoch.growth.rate","popbio","Log stochastic growth rate"
"stoch.projection","popbio","Project stochastic growth from a sequence of matrices"
"vitalsens","popbio","Vital rate sensitivities and elasticities"
"convt","popdemo","Calculate time to convergence"
"dr","popdemo","Calculate damping ratio"
"elas","popdemo","Calculate elasticity matrix"
"isErgodic","popdemo","Determine ergodicity of a matrix"
"isIrreducible","popdemo","Determine reducibility of a matrix"
"isPrimitive","popdemo","Determine primitivity of a matrix"
"maxamp","popdemo","Calculate maximal amplification"
"maxatt","popdemo","Calculate maximal attenuation"
"reac","popdemo","Calculate reactivity and first-timestep attenuation"
"tfa_inertia","popdemo","Transfer function Analysis"
"tfa_lambda","popdemo","Transfer function analysis"
"tfam_inertia","popdemo","Transfer function Analysis"
"tfam_lambda","popdemo","Transfer function analysis"
"tfs_inertia","popdemo","Calculate sensitivity of inertia using transfer functions"
"tfs_lambda","popdemo","Calculate sensitivity using transfer functions"
"truelambda","popdemo","Calculate asymptotic growth"
"fill_fertility","raretrans","Combine prior and data for fertility matrix"
"fill_transitions","raretrans","Combine prior and data for transition matrix"
"get_state_vector","raretrans","Helper functions for generating different priors"
"sim_transitions","raretrans","Simulate population projection matrices"
"read_excel","readxl","Read xls and xlsx files"
"tempfile","rmarkdown",NA
"drop_na","rstatix","Objects exported from other packages"
"gather","rstatix","Objects exported from other packages"
"add_column","tibble","Add columns to a data frame"
"as_tibble","tibble","Coerce lists, matrices, and more to data frames"
"tibble","tibble","Build a data frame"
"tribble","tibble","Row-wise tibble creation"
"pivot_longer","tidyr","Pivot data from wide to long"
"everything","tidyselect","Select all variables or the last variable"
"map_dbl","tidyselect",NA
"map_lgl","tidyselect",NA
"rename","tidyselect",NA
"select","tidyselect",NA
"starts_with","tidyselect","Select variables that match a pattern"
"where","tidyselect","Select variables with a function"
"data.frame","vctrs",NA
"IsPositive",NA,NA
"NullStages",NA,NA
"PointUsePalette",NA,NA
"build_dot",NA,NA
"grviz_dot_to_png",NA,NA
"is_invertible",NA,NA
"make_nodes_edges",NA,NA
"plot_beta",NA,NA
"render_dual",NA,NA
"rlt_style_colour",NA,NA
"rlt_style_fill",NA,NA
"safe_log_ticks",NA,NA
"safe_log_ylim",NA,NA
"save_plot_png",NA,NA
