Capítulo,Archivo .qmd,#Fig,Línea,Tipo,Origen (en .qmd),Ruta en figuras_editor,Caption
03-Recopilacion_datos_en_el_campo,104-Recopilacion_datos_en_el_campo.qmd,12,297,static,images/Ls_xyz.png,figuras_editor/03-Recopilacion_datos_en_el_campo/12_Ls_xyz.png,"Distribución tridimensional de *Laelia speciosa* sobre *Quercus deserticola*, basada en @hernandez1992dinamica. Figura de M. Hernández-Apolinar"
03-Recopilacion_datos_en_el_campo,104-Recopilacion_datos_en_el_campo.qmd,13,303,static,images/tree_dist.png,figuras_editor/03-Recopilacion_datos_en_el_campo/13_tree_dist.png,Distribución espacial de los árboles hospedero de *Laelia speciosa*. Los círculos dentro del área de muestreo representan el tamaño de la copa de los árboles.
03-Recopilacion_datos_en_el_campo,104-Recopilacion_datos_en_el_campo.qmd,14,314,static,images/Triangulation_Method.jpg,figuras_editor/03-Recopilacion_datos_en_el_campo/14_Triangulation_Method.jpg,Método de triangulación para el muestreo de orquídeas terrestres. Se ilustra la forma de determinar la posición ($P_{x}$) de los individuos.
03-Recopilacion_datos_en_el_campo,104-Recopilacion_datos_en_el_campo.qmd,15,344,static,images/C_irap_plantula.jpeg,figuras_editor/03-Recopilacion_datos_en_el_campo/15_C_irap_plantula.jpeg,Plántula de *Cypripedium irapeanum*. Foto: Claudia Gutiérrez-Paredes
03-Recopilacion_datos_en_el_campo,104-Recopilacion_datos_en_el_campo.qmd,16,350,static,images/Lepanthes_woodburyana.jpg,figuras_editor/03-Recopilacion_datos_en_el_campo/16_Lepanthes_woodburyana.jpg,*Lepanthes woodburyana*. Foto: Edwin Guevara
03-Recopilacion_datos_en_el_campo,104-Recopilacion_datos_en_el_campo.qmd,17,378,static,images/Cypripedium_acaule.jpg,figuras_editor/03-Recopilacion_datos_en_el_campo/17_Cypripedium_acaule.jpg,Uso de etiquetas de aluminio en marcaje de *Cypripedium acaule*. Foto: Tremblay
03-Recopilacion_datos_en_el_campo,104-Recopilacion_datos_en_el_campo.qmd,18,382,static,images/Laelia_cincho.png,figuras_editor/03-Recopilacion_datos_en_el_campo/18_Laelia_cincho.png,Uso de etiquetas de aluminio en marcaje con cinchos de plástico en *Laelia autumnalis*. Foto por Aucencia Emeterio-Lara
03-Recopilacion_datos_en_el_campo,104-Recopilacion_datos_en_el_campo.qmd,19,416,static,images/alambrelaelia.jpg,figuras_editor/03-Recopilacion_datos_en_el_campo/19_alambrelaelia.jpg,Marcaje de *Laelia speciosa* abrazando el tronco con alambre plastificado y etiquetas de *dymo*. Foto: Mariana Hernández-Apolinar
03-Recopilacion_datos_en_el_campo,104-Recopilacion_datos_en_el_campo.qmd,20,422,static,images/Lep_eltoroensis.png,figuras_editor/03-Recopilacion_datos_en_el_campo/20_Lep_eltoroensis.png,Los individuos de *Lepanthes eltoroensis* fueron identificados con una etiqueta de plástico clavada al tronco del árbol; posteriormente las nuevas etiquetas fueron engrapadas a la corteza del árbol. Foto: Tremblay
03-Recopilacion_datos_en_el_campo,104-Recopilacion_datos_en_el_campo.qmd,21,428,static,images/Cirap_marcaje.png,figuras_editor/03-Recopilacion_datos_en_el_campo/21_Cirap_marcaje.png,Marcaje de *Cypripedium irapeanum* con cinta de *dymo*. Foto: Hernández-Apolinar
03-Recopilacion_datos_en_el_campo,104-Recopilacion_datos_en_el_campo.qmd,22,432,static,images/Cyp_acaule_flag.jpg,figuras_editor/03-Recopilacion_datos_en_el_campo/22_Cyp_acaule_flag.jpg,Marcaje de *Cypripedium acaule* con banderitas. Foto: Tremblay
05-Fecundidad,106-calcular_fecundidad.qmd,1,113,static,images/Diagrama_fecundidad.png,figuras_editor/05-Fecundidad/01_Diagrama_fecundidad.png,"Diagrama del proceso de fecundidad en orquídeas, mostrando la cadena de filtros sucesivos: producción floral, polinización exitosa, cuajado de fruto, producción de semillas con embrión, germinación y establecimiento de plántulas"
05-Fecundidad,106-calcular_fecundidad.qmd,2,134,static,images/Cant_Hojas_Prob_Fr_Brassavola.jpg,figuras_editor/05-Fecundidad/02_Cant_Hojas_Prob_Fr_Brassavola.jpg,Relación entre la cantidad de hojas y la probabilidad de floración en *Brassavola cucullata* en las islas Saba y San Eustaquio
